,seconds,date,hr
135605,"1231,302",[2023-04-23 18:30:45 551],117.0
135662,"1231,802",[2023-04-23 18:30:46 051],117.0
135720,"1232,302",[2023-04-23 18:30:46 551],118.0
135777,"1232,802",[2023-04-23 18:30:47 051],118.0
135835,"1233,302",[2023-04-23 18:30:47 551],117.0
135892,"1233,802",[2023-04-23 18:30:48 051],117.0
135948,"1234,302",[2023-04-23 18:30:48 551],118.0
136003,"1234,802",[2023-04-23 18:30:49 051],118.0
136061,"1235,302",[2023-04-23 18:30:49 551],118.0
136118,"1235,802",[2023-04-23 18:30:50 051],118.0
136175,"1236,302",[2023-04-23 18:30:50 551],118.0
136232,"1236,802",[2023-04-23 18:30:51 051],118.0
136290,"1237,302",[2023-04-23 18:30:51 551],118.0
136344,"1237,802",[2023-04-23 18:30:52 051],118.0
136399,"1238,302",[2023-04-23 18:30:52 551],118.0
136456,"1238,802",[2023-04-23 18:30:53 051],118.0
136514,"1239,302",[2023-04-23 18:30:53 551],117.0
136571,"1239,802",[2023-04-23 18:30:54 051],117.0
136628,"1240,302",[2023-04-23 18:30:54 551],117.0
136685,"1240,802",[2023-04-23 18:30:55 051],117.0
136742,"1241,302",[2023-04-23 18:30:55 551],117.0
136795,"1241,802",[2023-04-23 18:30:56 051],117.0
136851,"1242,302",[2023-04-23 18:30:56 551],118.0
136908,"1242,802",[2023-04-23 18:30:57 051],118.0
136966,"1243,302",[2023-04-23 18:30:57 551],117.0
137023,"1243,802",[2023-04-23 18:30:58 051],118.0
137080,"1244,302",[2023-04-23 18:30:58 551],118.0
137137,"1244,802",[2023-04-23 18:30:59 051],119.0
137192,"1245,302",[2023-04-23 18:30:59 551],119.0
137248,"1245,802",[2023-04-23 18:31:00 051],119.0
137306,"1246,302",[2023-04-23 18:31:00 551],120.0
137363,"1246,802",[2023-04-23 18:31:01 051],120.0
137421,"1247,302",[2023-04-23 18:31:01 551],119.0
137478,"1247,802",[2023-04-23 18:31:02 051],119.0
137535,"1248,302",[2023-04-23 18:31:02 551],119.0
137591,"1248,802",[2023-04-23 18:31:03 051],120.0
137646,"1249,302",[2023-04-23 18:31:03 551],120.0
137703,"1249,802",[2023-04-23 18:31:04 051],121.0
137761,"1250,302",[2023-04-23 18:31:04 551],122.0
137818,"1250,802",[2023-04-23 18:31:05 051],122.0
137876,"1251,302",[2023-04-23 18:31:05 551],122.0
137933,"1251,802",[2023-04-23 18:31:06 051],122.0
137990,"1252,302",[2023-04-23 18:31:06 551],122.0
138044,"1252,802",[2023-04-23 18:31:07 051],122.0
138101,"1253,302",[2023-04-23 18:31:07 551],123.0
138158,"1253,802",[2023-04-23 18:31:08 051],123.0
138216,"1254,302",[2023-04-23 18:31:08 551],124.0
138273,"1254,802",[2023-04-23 18:31:09 051],124.0
138331,"1255,302",[2023-04-23 18:31:09 551],123.0
138388,"1255,802",[2023-04-23 18:31:10 051],123.0
