seconds,date,activity_load_2d,activity_load_3d
405.77,2023-04-23 18:17:23.537,0.0159,0.0189
406.77,2023-04-23 18:17:24.537,0.0684,0.0752
407.77,2023-04-23 18:17:25.537,0.0819,0.0886
408.77,2023-04-23 18:17:26.537,0.023,0.0268
409.77,2023-04-23 18:17:27.537,0.0234,0.0295
410.77,2023-04-23 18:17:28.537,0.0142,0.018
411.77,2023-04-23 18:17:29.537,0.0073,0.0094
412.77,2023-04-23 18:17:30.537,0.0094,0.0112
413.77,2023-04-23 18:17:31.537,0.0125,0.0145
414.77,2023-04-23 18:17:32.537,0.0075,0.0085
415.77,2023-04-23 18:17:33.537,0.0081,0.0092
416.77,2023-04-23 18:17:34.537,0.0046,0.0056
417.77,2023-04-23 18:17:35.537,0.0126,0.0151
418.77,2023-04-23 18:17:36.537,0.0127,0.0155
419.77,2023-04-23 18:17:37.537,0.0122,0.0149
420.77,2023-04-23 18:17:38.537,0.0076,0.0104
421.77,2023-04-23 18:17:39.537,0.009,0.011
422.77,2023-04-23 18:17:40.537,0.0077,0.01
423.77,2023-04-23 18:17:41.537,0.0076,0.0103
424.77,2023-04-23 18:17:42.537,0.0077,0.0113
425.77,2023-04-23 18:17:43.537,0.0059,0.0083
426.77,2023-04-23 18:17:44.537,0.005,0.0066
427.77,2023-04-23 18:17:45.537,0.0068,0.008
428.77,2023-04-23 18:17:46.537,0.0083,0.0096
429.931,2023-04-23 18:17:47.698,0.0091,0.0105
430.931,2023-04-23 18:17:48.698,0.008,0.0103
431.931,2023-04-23 18:17:49.698,0.0107,0.0132
432.931,2023-04-23 18:17:50.698,0.0087,0.0108
433.931,2023-04-23 18:17:51.698,0.0077,0.0098
434.931,2023-04-23 18:17:52.698,0.0103,0.0127
435.931,2023-04-23 18:17:53.698,0.0116,0.0139
436.931,2023-04-23 18:17:54.698,0.012,0.0142
437.931,2023-04-23 18:17:55.698,0.021,0.0227
438.931,2023-04-23 18:17:56.698,0.0195,0.0243
439.931,2023-04-23 18:17:57.698,0.0291,0.0351
440.931,2023-04-23 18:17:58.698,0.0202,0.0231
441.931,2023-04-23 18:17:59.698,0.0228,0.0263
442.931,2023-04-23 18:18:00.698,0.015,0.018
443.931,2023-04-23 18:18:01.698,0.0182,0.0218
444.931,2023-04-23 18:18:02.698,0.0362,0.0443
445.931,2023-04-23 18:18:03.698,0.0294,0.0372
446.931,2023-04-23 18:18:04.698,0.0412,0.0467
447.931,2023-04-23 18:18:05.698,0.0492,0.0574
448.931,2023-04-23 18:18:06.698,0.0536,0.0606
449.931,2023-04-23 18:18:07.698,0.0328,0.0383
450.931,2023-04-23 18:18:08.698,0.0284,0.0318
451.931,2023-04-23 18:18:09.698,0.0143,0.0162
452.931,2023-04-23 18:18:10.698,0.0168,0.0189
453.931,2023-04-23 18:18:11.698,0.0176,0.0214
454.931,2023-04-23 18:18:12.698,0.0318,0.0357
455.931,2023-04-23 18:18:13.698,0.0232,0.0266
456.931,2023-04-23 18:18:14.698,0.0286,0.0338
457.931,2023-04-23 18:18:15.698,0.0193,0.0248
458.931,2023-04-23 18:18:16.698,0.0211,0.0241
459.931,2023-04-23 18:18:17.698,0.0185,0.0209
460.931,2023-04-23 18:18:18.698,0.0285,0.0314
461.931,2023-04-23 18:18:19.698,0.015,0.0178
462.931,2023-04-23 18:18:20.698,0.0231,0.027
463.931,2023-04-23 18:18:21.698,0.0188,0.0211
464.931,2023-04-23 18:18:22.698,0.0189,0.0233
465.931,2023-04-23 18:18:23.698,0.0147,0.0175
466.931,2023-04-23 18:18:24.698,0.0222,0.0262
467.931,2023-04-23 18:18:25.698,0.0322,0.0355
468.931,2023-04-23 18:18:26.698,0.0289,0.0337
469.931,2023-04-23 18:18:27.698,0.0271,0.0306
470.931,2023-04-23 18:18:28.698,0.0375,0.0474
471.931,2023-04-23 18:18:29.698,0.0427,0.0519
472.931,2023-04-23 18:18:30.698,0.036,0.0427
473.931,2023-04-23 18:18:31.698,0.0233,0.0291
474.931,2023-04-23 18:18:32.698,0.0143,0.0184
475.931,2023-04-23 18:18:33.698,0.0143,0.0161
476.931,2023-04-23 18:18:34.698,0.0054,0.0075
477.931,2023-04-23 18:18:35.698,0.0078,0.0095
478.931,2023-04-23 18:18:36.698,0.0059,0.0091
479.931,2023-04-23 18:18:37.698,0.005,0.0064
480.931,2023-04-23 18:18:38.698,0.0069,0.0092
481.931,2023-04-23 18:18:39.698,0.0042,0.0051
482.931,2023-04-23 18:18:40.698,0.0027,0.0035
483.931,2023-04-23 18:18:41.698,0.0045,0.0056
